Código IBGE;Município;UF;Operadora;Tecnologia;% área coberta;% moradores cobertos;% domicílios cobertos;Área km2;Moradores;Domicílios
3151008;Piranguinho;MG;Todas;2G;62,91;89,24;89,42;124,803459;7976;2408
4317202;Santa Rosa;RS;Todas;2G;62,98;95,05;95,26;489,798178;68095;23356
2309003;Mucambo;CE;Todas;2G;63,02;82,09;82,57;190,60065;14095;4226
2702504;Dois Riachos;AL;Todas;2G;63,04;78,54;80,56;140,472449;10872;2946
2501500;Bananeiras;PB;Todas;2G;63,04;77,03;77,09;257,931162;21802;5930
2410504;Rafael Fernandes;RN;Todas;2G;63,11;86,32;86,49;78,231027;4691;1349
3541059;Pratânia;SP;Todas;2G;63,23;94,27;94,26;175,100258;4599;1374
3504404;Avanhandava;SP;Todas;2G;63,24;97,95;97,97;338,644265;10128;3069
2602506;Brejinho;PE;Todas;2G;63,25;73,93;76,09;106,275892;7299;2131
3513108;Cravinhos;SP;Todas;2G;63,25;98,94;98,86;311,397674;31624;9216
3127388;Goianá;MG;Todas;2G;63,25;93,20;94,03;152,038995;3649;1209
4310207;Ijuí;RS;Todas;2G;63,26;96,32;96,40;689,133464;78063;26781
3543105;Ribeirão Corrente;SP;Todas;2G;63,29;92,39;92,03;148,331781;4273;1300
2405306;Januário Cicco;RN;Todas;2G;63,30;64,80;65,11;187,212772;8960;2455
4301651;Barão;RS;Todas;2G;63,32;72,47;73,14;124,488351;5738;1849
3203304;Mantenópolis;ES;Todas;2G;63,33;73,50;73,34;321,420946;13402;4369
2301950;Barreira;CE;Todas;2G;63,36;87,90;88,12;245,805744;19545;5533
3553906;Tarabai;SP;Todas;2G;63,37;97,18;97,49;201,540679;6607;2023
2604106;Caruaru;PE;Todas;2G;63,38;97,87;97,88;920,610428;313823;96304
4112959;Juranda;PR;Todas;2G;63,40;81,83;81,53;349,722118;7612;2450
2801306;Capela;SE;Todas;2G;63,41;89,49;89,11;442,742718;30502;8382
4214805;Rio do Sul;SC;Todas;2G;63,47;97,04;97,09;260,357096;60827;19952
2402907;Coronel João Pessoa;RN;Todas;2G;63,49;92,23;93,05;117,14054;4765;1273
3538808;Piraju;SP;Todas;2G;63,50;96,50;96,78;504,499973;28360;9290
4102703;Barra do Jacaré;PR;Todas;2G;63,51;88,32;87,82;115,724333;2722;868
4113007;Jussara;PR;Todas;2G;63,54;97,27;97,43;210,857464;6610;2113
3544806;Sales;SP;Todas;2G;63,60;96,20;96,35;308,460604;5418;1819
5221304;Três Ranchos;GO;Todas;2G;63,61;95,20;94,69;282,073553;2813;944
3521101;Ipeúna;SP;Todas;2G;63,66;95,43;95,68;190,009526;5974;1778
2605202;Escada;PE;Todas;2G;63,68;91,12;91,72;346,959024;63404;18124
3205010;Sooretama;ES;Todas;2G;63,75;94,81;94,73;586,417203;23796;6950
2108504;Pindaré-Mirim;MA;Todas;2G;63,78;90,10;90,33;273,52561;31068;7754
4313607;Paim Filho;RS;Todas;2G;63,79;83,90;84,72;182,180175;4242;1364
3303401;Nova Friburgo;RJ;Todas;2G;63,80;96,86;96,92;933,414441;181379;63530
2409407;Pau dos Ferros;RN;Todas;2G;63,83;96,12;96,31;259,959458;27615;8032
3525805;Júlio Mesquita;SP;Todas;2G;63,89;98,20;98,29;128,220059;4430;1373
2302909;Capistrano;CE;Todas;2G;63,91;83,77;84,44;222,550015;17039;4589
3157906;Santa Margarida;MG;Todas;2G;63,97;81,00;81,57;255,730243;14997;4318
4209607;Lauro Muller;SC;Todas;2G;64,03;92,61;92,64;270,781484;14348;4605
3530904;Mombuca;SP;Todas;2G;64,19;96,06;95,82;133,697802;3266;941
2800506;Areia Branca;SE;Todas;2G;64,21;75,20;74,35;146,677288;16402;4598
3302601;Mangaratiba;RJ;Todas;2G;64,24;96,78;97,00;356,408263;36321;11788
3306206;Vassouras;RJ;Todas;2G;64,24;94,65;95,05;538,128373;34230;11049
3504800;Bálsamo;SP;Todas;2G;64,26;97,13;97,30;150,602363;8152;2753
2304608;General Sampaio;CE;Todas;2G;64,35;85,82;86,66;205,812069;6125;1549
3202306;Guaçuí;ES;Todas;2G;64,37;92,64;93,40;469,576566;27675;8861
4323507;Vista Alegre;RS;Todas;2G;64,37;80,52;80,99;77,454805;2830;883
2705101;Matriz de Camaragibe;AL;Todas;2G;64,38;97,76;97,77;219,992138;23721;5900
4111001;Itambaracá;PR;Todas;2G;64,39;90,68;90,12;207,342383;6722;2167
4305116;Centenário;RS;Todas;2G;64,39;76,93;77,05;134,331057;2960;952
2312403;São Gonçalo do Amarante;CE;Todas;2G;64,41;85,99;86,22;834,436048;43780;12011
2507101;Itapororoca;PB;Todas;2G;64,44;85,65;86,80;146,067779;16989;4791
2929107;São Felipe;BA;Todas;2G;64,46;79,49;81,52;205,988822;20299;5946
3512902;Cosmorama;SP;Todas;2G;64,49;93,30;93,11;441,707093;7182;2565
4101150;Ângulo;PR;Todas;2G;64,49;94,41;94,72;106,021015;2847;924
5201603;Araçu;GO;Todas;2G;64,52;95,72;95,83;148,935817;3794;1299
5220405;São Simão;GO;Todas;2G;64,55;99,00;98,98;414,011225;16863;5526
2806206;Salgado;SE;Todas;2G;64,56;85,78;86,16;247,828315;19336;5518
2705309;Minador do Negrão;AL;Todas;2G;64,67;85,02;86,09;167,605887;5271;1469
2312601;São Luís do Curu;CE;Todas;2G;64,74;91,34;91,70;122,419313;12301;3578
3536703;Pederneiras;SP;Todas;2G;64,75;97,87;97,86;729,000361;41402;12292
2602902;Cabo de Santo Agostinho;PE;Todas;2G;64,76;97,10;97,37;448,734785;184315;53402
3142403;Moema;MG;Todas;2G;64,78;93,06;92,34;202,705387;6998;2271
2933000;Valente;BA;Todas;2G;64,80;87,17;87,88;384,347376;24544;7517
3501509;Alvinlândia;SP;Todas;2G;64,82;96,33;96,55;84,802593;2995;910
3202900;Itarana;ES;Todas;2G;64,87;79,66;81,30;298,76085;10879;3373
4320206;Seberi;RS;Todas;2G;64,90;84,94;85,39;301,420424;10845;3686
2501534;Baraúna;PB;Todas;2G;64,96;91,33;92,11;50,581382;4220;1300
